MOA,Precision,Recall,F1-Score,Support
Actin disruptors,0.48148148148148145,0.8666666666666667,0.6190476190476191,60
Aurora kinase inhibitors,0.29914529914529914,0.7291666666666666,0.42424242424242425,144
DMSO,0.9936575052854123,0.5439814814814815,0.7030665669409125,864
DNA damage,0.6481481481481481,0.6481481481481481,0.6481481481481481,108
DNA replication,0.5217391304347826,1.0,0.6857142857142857,12
Eg5 inhibitors,0.1165644171779141,0.4523809523809524,0.18536585365853658,84
Epithelial,0.625,0.6944444444444444,0.6578947368421053,36
Microtubule destabilizers,0.3117206982543641,0.7440476190476191,0.43936731107205623,168
Microtubule stabilizers,0.8483290488431876,0.3525641025641026,0.4981132075471698,936
Protein degradation,0.36065573770491804,0.36666666666666664,0.36363636363636365,60
Protein synthesis,0.2604166666666667,0.78125,0.390625,96
